No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
11,Ricardo Monge,16,15,482,30.1,36,116,31.0,12,43,27.9,25,29,86.2,15,43,58,3.6,37,0,48,3.0,44,2.8,1.1,3,0.2,14,0.9,109,6.8,Concordia
12,Xander Jean,4,3,68,17.0,7,20,35.0,1,8,12.5,3,4,75.0,5,14,19,4.8,9,0,5,1.3,4,1.0,1.3,1,0.3,0,0.0,18,4.5,Concordia
8,Inti Salinas,13,1,108,8.3,14,41,34.1,11,35,31.4,2,2,100.0,1,15,16,1.2,7,0,8,0.6,7,0.5,1.1,0,0.0,6,0.5,41,3.2,Concordia
7,Garry Merisier,15,1,193,12.9,17,51,33.3,0,5,0.0,13,19,68.4,13,19,32,2.1,20,0,8,0.5,13,0.9,0.6,0,0.0,9,0.6,47,3.1,Concordia
10,Jean-Daniel Mathieu,15,3,188,12.5,12,54,22.2,7,38,18.4,6,9,66.7,3,22,25,1.7,19,0,3,0.2,10,0.7,0.3,0,0.0,4,0.3,37,2.5,Concordia
4,Frank Mpeck,16,-,145,9.1,2,19,10.5,0,9,0.0,5,7,71.4,2,8,10,0.6,13,0,9,0.6,12,0.8,0.8,0,0.0,10,0.6,9,0.6,Concordia
14,Dvir Cahana,2,-,0,.0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0.0,1,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Concordia
5,Amadou Diene,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,1,1.0,0,0.0,Concordia
24,Kiari Gerba,3,-,8,2.7,0,4,0.0,0,0,-,0,0,-,0,1,1,0.3,1,0,0,0.0,1,0.3,0.0,0,0.0,0,0.0,0,0.0,Concordia
9,Jonathan Mirambeau,7,-,6,.9,0,1,0.0,0,0,-,0,0,-,0,1,1,0.1,3,0,0,0.0,0,0.0,-,1,0.1,0,0.0,0,0.0,Concordia
22,Kashrell Lawrence,19,19,541,28.5,113,202,55.9,5,15,33.3,51,81,63.0,40,77,117,6.2,35,1,30,1.6,30,1.6,1.0,4,0.2,33,1.7,282,14.8,Dalhousie
7,Sven Stammberger,19,19,591,31.1,91,190,47.9,32,90,35.6,31,39,79.5,24,80,104,5.5,43,1,37,1.9,46,2.4,0.8,4,0.2,17,0.9,245,12.9,Dalhousie
11,Ritchie Kanza Mata,18,18,595,33.1,65,170,38.2,24,68,35.3,66,87,75.9,21,71,92,5.1,50,1,125,6.9,55,3.1,2.3,1,0.1,29,1.6,220,12.2,Dalhousie
5,Jarred Reid,20,8,442,22.1,63,160,39.4,24,70,34.3,21,34,61.8,17,56,73,3.7,37,1,27,1.4,29,1.5,0.9,4,0.2,17,0.9,171,8.6,Dalhousie
12,Jordan Aquino-Serjue,20,12,478,23.9,57,131,43.5,6,26,23.1,22,31,71.0,19,39,58,2.9,48,0,40,2.0,26,1.3,1.5,0,0.0,20,1.0,142,7.1,Dalhousie
10,Cedric Sanogo,19,14,371,19.5,48,113,42.5,10,38,26.3,10,19,52.6,16,28,44,2.3,37,0,25,1.3,27,1.4,0.9,1,0.1,15,0.8,116,6.1,Dalhousie
14,William Yengue,17,4,291,17.1,42,110,38.2,1,5,20.0,12,33,36.4,23,33,56,3.3,39,1,4,0.2,10,0.6,0.4,7,0.4,18,1.1,97,5.7,Dalhousie
13,Matt McVeigh,11,-,86,7.8,15,38,39.5,13,31,41.9,1,1,100.0,1,3,4,0.4,3,0,3,0.3,3,0.3,1.0,0,0.0,1,0.1,44,4.0,Dalhousie
15,Sascha Kappos,15,1,173,11.5,27,50,54.0,0,1,0.0,2,4,50.0,12,21,33,2.2,15,0,4,0.3,13,0.9,0.3,3,0.2,2,0.1,56,3.7,Dalhousie
4,Alex Petronis,17,1,149,8.8,20,44,45.5,7,19,36.8,7,12,58.3,6,21,27,1.6,15,0,6,0.4,16,0.9,0.4,0,0.0,5,0.3,54,3.2,Dalhousie
8,Sean Dodds,16,-,123,7.7,14,46,30.4,10,36,27.8,1,1,100.0,6,16,22,1.4,7,-,7,0.4,7,0.4,1.0,0,0.0,2,0.1,39,2.4,Dalhousie
6,Adam Karmali,16,-,117,7.3,13,25,52.0,4,10,40.0,3,8,37.5,1,6,7,0.4,8,-,12,0.8,6,0.4,2.0,0,0.0,0,0.0,33,2.1,Dalhousie
21,Kevin Duong,18,4,170,9.4,11,30,36.7,0,0,-,0,2,0.0,7,13,20,1.1,27,0,5,0.3,7,0.4,0.7,2,0.1,2,0.1,22,1.2,Dalhousie
9,Ross Crichton,2,-,3,1.5,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,1,0.5,0.0,0,0.0,0,0.0,0,0.0,Dalhousie
23,Michael Fraser,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Dalhousie
05,Jonathan Wallace,19,17,489,25.7,99,233,42.5,17,37,45.9,54,68,79.4,18,40,58,3.1,43,1,38,2.0,32,1.7,1.2,0,0.0,21,1.1,269,14.2,Guelph
04,Daniel Dooley,17,17,543,31.9,74,177,41.8,19,54,35.2,49,59,83.1,16,47,63,3.7,22,0,52,3.1,26,1.5,2.0,0,0.0,19,1.1,216,12.7,Guelph
44,Ahmed Haroon,19,17,378,19.9,79,189,41.8,20,52,38.5,49,61,80.3,28,79,107,5.6,39,0,10,0.5,36,1.9,0.3,10,0.5,9,0.5,227,11.9,Guelph
11,Taylor Boers,19,5,455,23.9,61,195,31.3,24,94,25.5,49,56,87.5,1,27,28,1.5,20,0,23,1.2,21,1.1,1.1,1,0.1,11,0.6,195,10.3,Guelph
31,Jack Beatty,19,3,381,20.1,60,165,36.4,25,76,32.9,35,49,71.4,22,79,101,5.3,56,1,15,0.8,23,1.2,0.7,11,0.6,13,0.7,180,9.5,Guelph
15,Drew Walford,19,16,400,21.1,68,120,56.7,5,17,29.4,8,16,50.0,26,50,76,4.0,41,0,22,1.2,43,2.3,0.5,26,1.4,25,1.3,149,7.8,Guelph
42,Colin Corrigan,15,-,156,10.4,23,47,48.9,0,3,0.0,4,8,50.0,12,17,29,1.9,26,0,7,0.5,4,0.3,1.8,0,0.0,8,0.5,50,3.3,Guelph
21,Kingsley D'Silva,18,8,222,12.3,22,52,42.3,1,1,100.0,7,22,31.8,34,45,79,4.4,35,0,9,0.5,18,1.0,0.5,4,0.2,5,0.3,52,2.9,Guelph
22,Andrew Grant,19,2,277,14.6,16,70,22.9,2,22,9.1,14,22,63.6,6,32,38,2.0,29,0,14,0.7,12,0.6,1.2,9,0.5,17,0.9,48,2.5,Guelph
33,Martin Popiel,17,10,226,13.3,14,36,38.9,0,0,-,7,13,53.8,10,21,31,1.8,36,0,8,0.5,19,1.1,0.4,0,0.0,4,0.2,35,2.1,Guelph
45,Nathan Klassen,1,-,2,2.0,1,2,50.0,0,0,-,0,0,-,0,1,1,1.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,2,2.0,Guelph
32,Jean L-Beugre,18,-,219,12.2,9,38,23.7,2,10,20.0,9,21,42.9,13,20,33,1.8,26,0,13,0.7,17,0.9,0.8,2,0.1,7,0.4,29,1.6,Guelph
40,Love Joseph,6,-,46,7.7,2,5,40.0,0,0,-,1,4,25.0,5,5,10,1.7,13,0,1,0.2,2,0.3,0.5,2,0.3,2,0.3,5,0.8,Guelph
12,Tommy Yanchus,5,-,6,1.2,1,3,33.3,1,3,33.3,0,0,-,1,0,1,0.2,0,0,0,0.0,0,0.0,-,0,0.0,1,0.2,3,0.6,Guelph
24,Bacarius Dinkins,19,19,563,29.6,127,256,49.6,0,0,-,72,113,63.7,49,108,157,8.3,44,0,23,1.2,49,2.6,0.5,21,1.1,8,0.4,326,17.2,Lakehead
05,Henry Tan,19,19,651,34.3,103,283,36.4,20,97,20.6,71,98,72.4,10,73,83,4.4,20,0,69,3.6,53,2.8,1.3,2,0.1,16,0.8,297,15.6,Lakehead
21,Alexandre Robichaud,19,19,635,33.4,56,157,35.7,38,108,35.2,26,30,86.7,30,86,116,6.1,59,1,26,1.4,33,1.7,0.8,3,0.2,13,0.7,176,9.3,Lakehead
03,Nick Burke,19,19,565,29.7,57,148,38.5,13,58,22.4,19,37,51.4,10,65,75,3.9,42,0,47,2.5,27,1.4,1.7,4,0.2,28,1.5,146,7.7,Lakehead
07,Brandon Persad,19,-,236,12.4,31,88,35.2,28,79,35.4,4,6,66.7,6,23,29,1.5,19,0,3,0.2,13,0.7,0.2,1,0.1,3,0.2,94,4.9,Lakehead
04,Kache Kopec,17,-,201,11.8,23,56,41.1,15,38,39.5,17,21,81.0,9,17,26,1.5,19,1,5,0.3,9,0.5,0.6,2,0.1,2,0.1,78,4.6,Lakehead
22,Darnell Curtin,19,1,186,9.8,16,38,42.1,9,24,37.5,13,17,76.5,9,17,26,1.4,23,0,7,0.4,7,0.4,1.0,0,0.0,10,0.5,54,2.8,Lakehead
11,Mike Theodore,12,-,128,10.7,13,25,52.0,0,2,0.0,4,4,100.0,17,21,38,3.2,18,1,2,0.2,10,0.8,0.2,3,0.3,8,0.7,30,2.5,Lakehead
02,Quincy Johnson,18,3,202,11.2,15,42,35.7,7,19,36.8,4,6,66.7,16,25,41,2.3,22,0,6,0.3,11,0.6,0.5,1,0.1,3,0.2,41,2.3,Lakehead
09,Jack Bull,16,9,180,11.3,9,22,40.9,1,1,100.0,4,8,50.0,19,24,43,2.7,22,1,4,0.3,14,0.9,0.3,4,0.3,2,0.1,23,1.4,Lakehead
23,Antony Flores,16,-,79,4.9,3,13,23.1,1,7,14.3,2,5,40.0,1,5,6,0.4,6,0,4,0.3,7,0.4,0.6,0,0.0,2,0.1,9,0.6,Lakehead
20,Michael Poirier,9,-,29,3.2,0,5,0.0,0,0,-,1,2,50.0,1,1,2,0.2,1,0,1,0.1,0,0.0,-,0,0.0,0,0.0,1,0.1,Lakehead
01,Kyle Estalilla,3,-,4,1.3,0,1,0.0,0,0,-,0,0,-,0,0,0,0.0,2,0,1,0.3,0,0.0,-,0,0.0,0,0.0,0,0.0,Lakehead
12,Chris Howell,1,-,2,2.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Lakehead
08,Mor Menashe,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Lakehead
06,Nick Soulias,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Lakehead
11,David Aromolaran,18,18,555,30.8,96,241,39.8,5,24,20.8,67,87,77.0,20,62,82,4.6,47,1,68,3.8,79,4.4,0.9,8,0.4,22,1.2,264,14.7,Laurentian
21,Anthony Iacoe,19,19,627,33.0,96,279,34.4,59,169,34.9,26,30,86.7,14,41,55,2.9,33,0,33,1.7,41,2.2,0.8,0,0.0,16,0.8,277,14.6,Laurentian
44,Sam Hirst,19,19,643,33.8,96,234,41.0,10,43,23.3,51,74,68.9,33,110,143,7.5,52,1,58,3.1,45,2.4,1.3,3,0.2,20,1.1,253,13.3,Laurentian
10,Nick Simon,19,1,481,25.3,53,160,33.1,36,114,31.6,5,6,83.3,9,32,41,2.2,41,0,31,1.6,27,1.4,1.1,0,0.0,11,0.6,147,7.7,Laurentian
14,Theo Thomas,19,14,359,18.9,43,112,38.4,8,30,26.7,38,47,80.9,31,44,75,3.9,56,4,16,0.8,34,1.8,0.5,3,0.2,18,0.9,132,6.9,Laurentian
32,Joseph Sykes,18,15,381,21.2,33,85,38.8,4,10,40.0,20,24,83.3,23,56,79,4.4,49,2,11,0.6,30,1.7,0.4,9,0.5,11,0.6,90,5.0,Laurentian
12,JD West,19,5,293,15.4,25,80,31.3,20,64,31.3,5,7,71.4,5,25,30,1.6,10,0,3,0.2,5,0.3,0.6,0,0.0,9,0.5,75,3.9,Laurentian
55,Lex Van Iperen,18,1,264,14.7,25,57,43.9,0,0,-,14,28,50.0,43,40,83,4.6,41,0,13,0.7,18,1.0,0.7,5,0.3,4,0.2,64,3.6,Laurentian
23,Alexander Henry-Iriarte,17,3,200,11.8,10,35,28.6,0,1,0.0,9,19,47.4,21,31,52,3.1,34,1,8,0.5,14,0.8,0.6,10,0.6,5,0.3,29,1.7,Laurentian
24,Mike McQuarrie,2,-,13,6.5,1,1,100.0,0,0,-,0,0,-,0,2,2,1.0,1,0,0,0.0,2,1.0,0.0,0,0.0,2,1.0,2,1.0,Laurentian
34,Mustafa Abdi,7,-,35,5.0,1,4,25.0,1,2,50.0,2,2,100.0,3,2,5,0.7,4,0,3,0.4,5,0.7,0.6,0,0.0,0,0.0,5,0.7,Laurentian
42,Juac Aguer,1,-,1,1.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Laurentian
15,Tristan Rienstra,3,-,4,1.3,0,1,0.0,0,0,-,0,0,-,1,0,1,0.3,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Laurentian
06,Will Coulthard,20,19,631,31.6,115,348,33.0,46,152,30.3,79,111,71.2,14,59,73,3.7,41,0,37,1.9,40,2.0,0.9,3,0.2,36,1.8,355,17.8,Laurier
12,Matt Chesson,20,19,502,25.1,110,256,43.0,3,13,23.1,44,63,69.8,36,64,100,5.0,58,1,13,0.7,24,1.2,0.5,21,1.1,10,0.5,267,13.4,Laurier
09,Luke Allin,7,6,183,26.1,31,60,51.7,16,31,51.6,15,20,75.0,11,30,41,5.9,17,0,1,0.1,3,0.4,0.3,4,0.6,3,0.4,93,13.3,Laurier
03,Garrison Thomas,19,11,441,23.2,58,144,40.3,18,57,31.6,17,25,68.0,35,67,102,5.4,19,0,31,1.6,16,0.8,1.9,6,0.3,13,0.7,151,7.9,Laurier
02,Simon Mikre,20,19,658,32.9,50,135,37.0,3,9,33.3,42,55,76.4,15,80,95,4.8,41,0,101,5.1,52,2.6,1.9,15,0.8,31,1.6,145,7.3,Laurier
04,Chuder Teny,20,6,328,16.4,51,163,31.3,29,99,29.3,12,18,66.7,15,24,39,2.0,17,0,15,0.8,27,1.4,0.6,0,0.0,21,1.1,143,7.2,Laurier
10,Owen Coulthard,20,5,332,16.6,44,128,34.4,30,83,36.1,14,20,70.0,14,24,38,1.9,26,0,7,0.4,9,0.5,0.8,3,0.2,9,0.5,132,6.6,Laurier
08,Vlad Matovic,19,1,222,11.7,43,78,55.1,0,1,0.0,15,20,75.0,28,42,70,3.7,25,0,3,0.2,19,1.0,0.2,11,0.6,9,0.5,101,5.3,Laurier
05,Sydney Davis,20,-,219,11.0,23,74,31.1,10,31,32.3,12,20,60.0,4,14,18,0.9,23,0,19,1.0,21,1.1,0.9,1,0.1,5,0.3,68,3.4,Laurier
07,Ivan Bilandzic,15,-,127,8.5,16,34,47.1,0,0,-,18,34,52.9,17,27,44,2.9,23,1,2,0.1,7,0.5,0.3,3,0.2,3,0.2,50,3.3,Laurier
15,Joseph Fo,3,-,23,7.7,5,10,50.0,0,0,-,0,0,-,2,1,3,1.0,0,0,1,0.3,0,0.0,-,1,0.3,1,0.3,10,3.3,Laurier
20,Simon Polan-Couillard,18,9,292,16.2,21,51,41.2,0,0,-,17,37,45.9,31,36,67,3.7,46,1,14,0.8,11,0.6,1.3,4,0.2,8,0.4,59,3.3,Laurier
11,Navraj Randhawa,10,-,36,3.6,2,11,18.2,1,5,20.0,2,4,50.0,1,4,5,0.5,2,0,3,0.3,7,0.7,0.4,0,0.0,2,0.2,7,0.7,Laurier
13,Nonso Anyakwo,15,-,75,5.0,3,12,25.0,0,0,-,1,7,14.3,8,9,17,1.1,15,0,1,0.1,4,0.3,0.3,4,0.3,1,0.1,7,0.5,Laurier
8,Alexandre Leclerc,16,16,577,36.1,104,252,41.3,49,134,36.6,39,59,66.1,21,80,101,6.3,29,0,39,2.4,39,2.4,1.0,8,0.5,20,1.3,296,18.5,Laval
10,Thibaud Dezutter,16,13,474,29.6,79,179,44.1,33,75,44.0,44,59,74.6,16,44,60,3.8,46,3,48,3.0,38,2.4,1.3,5,0.3,15,0.9,235,14.7,Laval
6,Karl Demers-Belanger,16,16,529,33.1,61,192,31.8,27,103,26.2,40,56,71.4,6,24,30,1.9,34,2,59,3.7,39,2.4,1.5,0,0.0,18,1.1,189,11.8,Laval
11,Charles-Andre Edorh,16,16,407,25.4,49,150,32.7,4,15,26.7,32,56,57.1,28,82,110,6.9,53,2,25,1.6,43,2.7,0.6,5,0.3,20,1.3,134,8.4,Laval
20,John-Fitzgerald Metayer,6,-,87,14.5,14,32,43.8,4,14,28.6,8,9,88.9,4,7,11,1.8,12,0,6,1.0,11,1.8,0.5,0,0.0,7,1.2,40,6.7,Laval
9,Vladimir Thomas,12,-,177,14.8,22,76,28.9,12,47,25.5,13,22,59.1,11,17,28,2.3,20,0,14,1.2,18,1.5,0.8,2,0.2,10,0.8,69,5.8,Laval
21,Frantson Demosthene,9,-,157,17.4,20,39,51.3,0,2,0.0,7,31,22.6,23,23,46,5.1,14,0,3,0.3,17,1.9,0.2,0,0.0,4,0.4,47,5.2,Laval
24,Antoine Beaumier,14,13,305,21.8,27,74,36.5,11,25,44.0,8,11,72.7,12,35,47,3.4,33,1,25,1.8,17,1.2,1.5,1,0.1,15,1.1,73,5.2,Laval
13,Daniel Mutanda,16,3,277,17.3,26,56,46.4,1,9,11.1,15,29,51.7,28,50,78,4.9,45,2,10,0.6,14,0.9,0.7,4,0.3,13,0.8,68,4.3,Laval
14,Julien Muir,3,-,33,11.0,3,5,60.0,0,0,-,2,2,100.0,4,6,10,3.3,6,1,0,0.0,1,0.3,0.0,0,0.0,1,0.3,8,2.7,Laval
25,Mathieu Toussaint,2,-,16,8.0,1,3,33.3,1,1,100.0,1,2,50.0,1,3,4,2.0,4,0,3,1.5,2,1.0,1.5,0,0.0,0,0.0,4,2.0,Laval
4,Laurier Beaulac-Dufresne,14,3,172,12.3,10,15,66.7,2,3,66.7,1,8,12.5,5,13,18,1.3,17,0,10,0.7,12,0.9,0.8,3,0.2,5,0.4,23,1.6,Laval
7,Antoine Guilard,4,-,35,8.8,2,6,33.3,0,0,-,2,6,33.3,4,2,6,1.5,3,0,1,0.3,3,0.8,0.3,0,0.0,0,0.0,6,1.5,Laval
22,Thierry Frederic,6,-,25,4.2,3,9,33.3,0,1,0.0,0,0,-,2,3,5,0.8,2,0,0,0.0,4,0.7,0.0,0,0.0,0,0.0,6,1.0,Laval
12,Vincent Marier,2,-,1,.5,0,0,-,0,0,-,0,0,-,1,0,1,0.5,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Laval
01,Brandon Brine,20,18,617,30.9,138,274,50.4,50,125,40.0,54,69,78.3,32,102,134,6.7,46,0,35,1.8,37,1.9,0.9,33,1.7,26,1.3,380,19.0,Lethbridge
12,Rob Olsen,18,18,511,28.4,107,232,46.1,33,79,41.8,22,29,75.9,17,67,84,4.7,39,1,53,2.9,51,2.8,1.0,2,0.1,25,1.4,269,14.9,Lethbridge
05,Dejon Burdeaux,17,15,452,26.6,72,144,50.0,2,5,40.0,65,83,78.3,35,44,79,4.6,43,1,59,3.5,40,2.4,1.5,1,0.1,57,3.4,211,12.4,Lethbridge
09,Zac Overwater,20,14,436,21.8,75,150,50.0,17,42,40.5,40,62,64.5,17,51,68,3.4,59,4,19,1.0,46,2.3,0.4,8,0.4,21,1.1,207,10.4,Lethbridge
07,Michael Pierzchala,20,2,383,19.2,48,124,38.7,28,81,34.6,26,33,78.8,22,50,72,3.6,43,3,19,1.0,23,1.2,0.8,2,0.1,14,0.7,150,7.5,Lethbridge
11,Jared Baker,20,20,581,29.1,44,129,34.1,23,80,28.8,21,34,61.8,23,72,95,4.8,53,0,69,3.5,34,1.7,2.0,2,0.1,32,1.6,132,6.6,Lethbridge
21,Christopher Maughan,19,4,229,12.1,47,88,53.4,0,0,-,24,34,70.6,31,37,68,3.6,37,0,10,0.5,20,1.1,0.5,8,0.4,12,0.6,118,6.2,Lethbridge
15,Carl Hoffman,14,1,122,8.7,26,51,51.0,0,0,-,18,41,43.9,14,21,35,2.5,12,0,3,0.2,10,0.7,0.3,2,0.1,0,0.0,70,5.0,Lethbridge
10,Joshua Sparkes,20,4,366,18.3,31,75,41.3,18,43,41.9,10,11,90.9,4,30,34,1.7,26,1,34,1.7,31,1.6,1.1,2,0.1,11,0.6,90,4.5,Lethbridge
04,Lynden Nummi,8,3,92,11.5,5,13,38.5,1,2,50.0,12,12,100.0,2,12,14,1.8,14,0,15,1.9,10,1.3,1.5,0,0.0,7,0.9,23,2.9,Lethbridge
06,Spencer Lambert,3,-,22,7.3,2,3,66.7,1,1,100.0,2,2,100.0,1,2,3,1.0,4,0,1,0.3,0,0.0,-,0,0.0,0,0.0,7,2.3,Lethbridge
14,William Hickey,13,-,92,7.1,7,27,25.9,4,15,26.7,9,13,69.2,5,4,9,0.7,8,0,9,0.7,13,1.0,0.7,0,0.0,1,0.1,27,2.1,Lethbridge
08,Jason Nysten,16,1,104,6.5,9,13,69.2,0,1,0.0,9,19,47.4,6,12,18,1.1,19,0,1,0.1,7,0.4,0.1,0,0.0,7,0.4,27,1.7,Lethbridge
20,Brian Prenoslo,4,-,16,4.0,1,4,25.0,1,3,33.3,0,0,-,0,2,2,0.5,2,0,1,0.3,1,0.3,1.0,0,0.0,0,0.0,3,0.8,Lethbridge
06,Denzel James,20,11,544,27.2,98,229,42.8,27,76,35.5,56,84,66.7,20,84,104,5.2,39,0,34,1.7,62,3.1,0.5,16,0.8,30,1.5,279,14.0,MacEwan
03,Thadius Galvez,20,20,614,30.7,97,222,43.7,28,76,36.8,46,66,69.7,14,68,82,4.1,29,0,70,3.5,40,2.0,1.8,0,0.0,41,2.1,268,13.4,MacEwan
13,Keith Gerdes,20,20,486,24.3,69,177,39.0,25,84,29.8,21,28,75.0,22,48,70,3.5,57,2,24,1.2,27,1.4,0.9,11,0.6,14,0.7,184,9.2,MacEwan
05,Chris Mooney,15,15,426,28.4,56,132,42.4,6,22,27.3,16,30,53.3,25,75,100,6.7,53,3,47,3.1,42,2.8,1.1,2,0.1,20,1.3,134,8.9,MacEwan
14,Ryan Coleman,14,-,225,16.1,48,88,54.5,2,2,100.0,27,32,84.4,28,29,57,4.1,20,0,4,0.3,15,1.1,0.3,1,0.1,2,0.1,125,8.9,MacEwan
15,Ryan May,20,20,443,22.2,56,118,47.5,14,31,45.2,41,54,75.9,31,50,81,4.1,72,4,27,1.4,27,1.4,1.0,1,0.1,13,0.7,167,8.4,MacEwan
00,Thomas Jereniuk,20,13,534,26.7,36,104,34.6,19,64,29.7,20,28,71.4,17,34,51,2.6,21,0,47,2.4,32,1.6,1.5,0,0.0,12,0.6,111,5.6,MacEwan
01,Tarik Scott,15,-,205,13.7,18,58,31.0,12,41,29.3,6,10,60.0,3,19,22,1.5,20,0,8,0.5,9,0.6,0.9,1,0.1,8,0.5,54,3.6,MacEwan
10,Harrison Lane,19,-,252,13.3,22,60,36.7,4,10,40.0,20,38,52.6,10,25,35,1.8,37,0,13,0.7,23,1.2,0.6,4,0.2,2,0.1,68,3.6,MacEwan
08,Atlas St Paul-Butler,15,-,143,9.5,12,28,42.9,4,12,33.3,7,9,77.8,10,16,26,1.7,19,0,9,0.6,9,0.6,1.0,5,0.3,9,0.6,35,2.3,MacEwan
02,David Grange,10,1,60,6.0,5,16,31.3,3,11,27.3,0,0,-,5,3,8,0.8,5,0,2,0.2,4,0.4,0.5,0,0.0,1,0.1,13,1.3,MacEwan
04,Deonte Doslov-Doctor,10,-,74,7.4,4,13,30.8,1,4,25.0,2,2,100.0,2,13,15,1.5,7,0,6,0.6,9,0.9,0.7,0,0.0,3,0.3,11,1.1,MacEwan
12,Cole Aikens,6,-,15,2.5,1,3,33.3,0,0,-,0,0,-,1,1,2,0.3,2,0,0,0.0,3,0.5,0.0,0,0.0,2,0.3,2,0.3,MacEwan
07,Tony Wolter,2,-,3,1.5,0,1,0.0,0,1,0.0,0,0,-,1,0,1,0.5,1,-,0,0.0,0,0.0,-,0,0.0,1,0.5,0,0.0,MacEwan
04,Aj Basi,20,20,701,35.1,122,314,38.9,59,159,37.1,54,61,88.5,9,49,58,2.9,36,0,49,2.5,38,1.9,1.3,5,0.3,29,1.5,357,17.9,Manitoba
06,Justus Alleyn,20,20,659,33.0,115,268,42.9,36,90,40.0,45,68,66.2,12,62,74,3.7,58,1,58,2.9,44,2.2,1.3,9,0.5,21,1.1,311,15.6,Manitoba
